Price,Close,High,Low,Open,Volume
Ticker,HLAG.DE,HLAG.DE,HLAG.DE,HLAG.DE,HLAG.DE
Date,,,,,
2021-01-04,60.977787017822266,62.799964128816754,59.15561487186097,60.001621772296616,55769
2021-01-05,60.58732604980469,61.88887979938173,58.70007211991127,60.912714487198954,30472
2021-01-06,63.971370697021484,64.29675914417818,60.58732786757155,61.17302806546035,32896
2021-01-07,64.36183166503906,65.46815032758442,63.515819771304365,63.841208197351044,53045
2021-01-08,69.37281036376953,70.54421066537569,65.46814931179338,65.59830765921255,49233
2021-01-11,68.46173095703125,70.67437350903379,67.55064722829546,69.8934431801077,46116
2021-01-12,66.24908447265625,66.50939123731585,62.01903500150518,63.64597710579405,82610
2021-01-13,68.33157348632812,68.33157348632812,65.98877767408932,65.98877767408932,34536
2021-01-14,68.46173095703125,68.98235448633795,65.33800467629293,68.98235448633795,39782
2021-01-15,67.03002166748047,68.46172888213158,66.11893300132348,67.81095197273856,34093
2021-01-18,70.28389739990234,70.67436250356182,64.75229436379891,65.59830622592212,33478
2021-01-19,71.06482696533203,71.19498530873166,69.37280822140185,70.15374338670026,26702
2021-01-20,71.32513427734375,71.4552926126962,69.76326900834412,71.4552926126962,22924
2021-01-21,71.84576416015625,72.23622927131888,70.41405213251555,71.32514070191722,28542
2021-01-22,69.37281036376953,72.88700630355471,68.33156840958254,72.88700630355471,30715
2021-01-25,70.02359008789062,71.71560895371601,68.9823480908468,70.15374844066703,28187
2021-01-26,69.37281036376953,69.89343382337967,65.46814931179338,66.63954961339954,38289
2021-01-27,62.21426773071289,69.37281329515761,61.042872344642035,69.37281329515761,102919
2021-01-28,61.69365310668945,62.2142716561137,55.57634915445956,62.149194958064896,98693
2021-01-29,60.58732604980469,61.36826127857103,59.41593065420547,61.30317961906536,37367
2021-02-01,62.930118560791016,64.29675389939766,60.91271134598905,60.977788037105256,28840
2021-02-02,63.7110595703125,64.426913168062,62.47458246599952,62.86504761340527,20590
2021-02-03,64.36183166503906,65.46815032758442,63.64597812074305,63.841208197351044,22109
2021-02-04,63.38566970825195,65.07768861934828,62.86504621328372,64.55706512438005,27804
2021-02-05,67.03002166748047,68.20142209040141,66.11893300132348,66.37924475808745,37496
2021-02-08,67.29032897949219,68.85219445187572,66.76970550035318,68.33157097273671,20899
2021-02-09,66.89985656738281,67.68078673601599,65.98876806062216,67.42047502479396,15038
2021-02-10,65.72846221923828,67.03001592654994,64.42690851192664,66.2490856881763,32399
2021-02-11,68.33157348632812,68.33157348632812,66.37924281529018,66.37924281529018,18732
2021-02-12,66.89985656738281,68.3315635315546,66.2490797718442,68.3315635315546,11112
2021-02-15,69.8934326171875,70.41405110277972,66.37923673804886,66.37923673804886,30723
2021-02-16,79.26461791992188,82.25819027088882,68.5918771788356,70.28389590198796,118515
2021-02-17,78.48368835449219,80.56617728634802,74.9694923160751,80.30586554923687,64338
2021-02-18,75.75042724609375,79.00431153531571,74.96949203766044,78.8741531847268,20366
2021-02-19,80.82648468017578,81.86773163663011,75.88058149715158,75.88058149715158,35283
2021-02-22,78.3535385131836,84.60099566132052,77.57260326652045,84.60099566132052,53786
2021-02-23,75.09965515136719,80.30587034432112,72.49654755489023,79.39478169254744,51756
2021-02-24,81.607421875,81.99788701061527,74.96949470940625,75.35996481005509,53152
2021-02-25,79.394775390625,82.7788130114252,78.87415192664035,82.25819451247388,26546
2021-02-26,79.26461791992188,81.347101738412,76.14088722715363,76.27104060392186,30254
2021-03-01,79.91539764404297,82.9089701040244,78.61384396883076,80.696327863157,30299
2021-03-02,81.0867919921875,82.38834565166093,79.91539667768133,80.17570343754947,16166
2021-03-03,80.69633483886719,82.51851212769378,79.39478105114353,81.99788862659085,16401
2021-03-04,78.87415313720703,80.30586520262216,76.92182256485009,80.04555346663454,20969
2021-03-05,76.92182159423828,78.61384537429079,76.40120309386572,77.96306852505009,17584
2021-03-08,79.65509033203125,79.91540207451189,76.5313593523306,76.5313593523306,26512
2021-03-09,81.47726440429688,81.8677345091847,78.74400346028395,79.6550920966328,13396
2021-03-10,81.7375717163086,81.86773006588484,79.00431092064102,81.34710659764656,13622
2021-03-11,84.08037567138672,86.68348333879848,81.21696120926084,81.60742636636584,40158
2021-03-12,82.25819396972656,83.68990600372109,80.43601682283654,83.29943592579231,32321
2021-03-15,84.08037567138672,86.03270642194555,81.47726800397494,82.64866844032377,36569
2021-03-16,87.98502349853516,88.37549355999009,84.47083266570539,84.73113941996458,18413
2021-03-17,88.63580322265625,89.41673344112462,85.64223573018307,88.76595660405657,24308
2021-03-18,88.37549591064453,90.32782640971591,81.8677275804066,89.93735633787507,55472
2021-03-19,94.23249053955078,95.79435101868768,88.76595900243812,89.80720594190721,48558
