Date,Dividendo
2018-07-11 00:00:00+02:00,0.57
2019-06-13 00:00:00+02:00,0.15
2020-06-08 00:00:00+02:00,1.1
2021-05-31 00:00:00+02:00,3.5
2022-05-26 00:00:00+02:00,35.0
2023-05-04 00:00:00+02:00,63.0
2024-05-02 00:00:00+02:00,9.25
